ip,window,req_count,avg_gap,unique_urls
127.0.0.1,1769626930.0,1,0.0,1
127.0.0.1,1769626935.0,1,0.0,1
127.0.0.1,1769626940.0,1,0.0,1
127.0.0.1,1769626945.0,1,0.0,1
127.0.0.1,1769626950.0,1,0.0,1
127.0.0.1,1769626955.0,1,0.0,1
127.0.0.1,1769626960.0,1,0.0,1
127.0.0.1,1769626965.0,50,0.0015846369217853158,1
127.0.0.1,1769626970.0,46,0.08131871223449708,2
127.0.0.1,1769626975.0,49,0.056056911746660866,1
127.0.0.1,1769626980.0,51,0.03420613765716553,2
127.0.0.1,1769626985.0,69,0.06963232334922342,2
127.0.0.1,1769626990.0,74,0.057106112780636306,2
127.0.0.1,1769626995.0,50,0.05839070008725536,2
127.0.0.1,1769627000.0,50,0.03856915357161542,1
127.0.0.1,1769627005.0,51,0.01765928268432617,1
127.0.0.1,1769627010.0,1,0.0,1
