ip,window,req_count,avg_gap,unique_urls,label
127.0.0.1,1769626930.0,1,0.0,1,0
127.0.0.1,1769626935.0,1,0.0,1,0
127.0.0.1,1769626940.0,1,0.0,1,0
127.0.0.1,1769626945.0,1,0.0,1,0
127.0.0.1,1769626950.0,1,0.0,1,0
127.0.0.1,1769626955.0,1,0.0,1,0
127.0.0.1,1769626960.0,1,0.0,1,0
127.0.0.1,1769626965.0,50,0.0015846369217853,1,1
127.0.0.1,1769626970.0,46,0.081318712234497,2,1
127.0.0.1,1769626975.0,49,0.0560569117466608,1,1
127.0.0.1,1769626980.0,51,0.0342061376571655,2,1
127.0.0.1,1769626985.0,69,0.0696323233492234,2,1
127.0.0.1,1769626990.0,74,0.0571061127806363,2,1
127.0.0.1,1769626995.0,50,0.0583907000872553,2,1
127.0.0.1,1769627000.0,50,0.0385691535716154,1,1
127.0.0.1,1769627005.0,51,0.0176592826843261,1,1
127.0.0.1,1769627010.0,1,0.0,1,0
